record_id,year,state,district,agro_climatic_region,crop,season,annual_rainfall_mm,rainfall_anomaly_pct,avg_temperature_c,max_temperature_c,min_temperature_c,temperature_anomaly_c,humidity_pct,soil_moisture_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,irrigation_pct,hot_days,consecutive_dry_days,heavy_rain_days,cultivated_area_ha,drought_risk_score,drought_risk,heat_risk_score,heat_risk,flood_risk_score,flood_risk,overall_climate_risk_score,overall_climate_risk,yield_tonnes_per_ha,production_tonnes
11,2006,Maharashtra,Gondia,Vidarbha,Sugarcane,Annual,844.5,-11.1,25.19,38.11,15.35,-1.81,67.2,33.6,7.37,160.4,19.2,309.1,88.8,43,17,8,4924.6,20.2,Low,49.3,Medium,18.0,Low,29.3,Low,18.49,91056.5
12,2012,Maharashtra,Dhule,Khandesh,Soybean,Kharif,832.0,15.6,26.19,34.2,18.24,-1.31,46.1,63.4,6.79,196.5,47.1,484.4,48.9,0,10,5,863.2,2.5,Low,0.0,Low,11.2,Low,3.9,Low,0.736,635.3
13,2025,Maharashtra,Latur,Marathwada,Cotton,Kharif,742.0,6.0,26.67,34.33,16.5,-0.33,56.5,39.9,6.5,318.7,33.6,297.3,39.7,3,41,3,6808.5,10.2,Low,2.2,Low,6.8,Low,6.7,Low,0.291,1982.1
14,2025,Maharashtra,Osmanabad,Marathwada,Sugarcane,Annual,669.9,-4.3,27.12,35.51,20.13,0.12,42.9,31.9,6.31,419.4,41.7,284.7,77.1,30,44,2,1461.4,35.0,Medium,25.3,Low,4.5,Low,24.2,Low,40.282,58868.7
15,2021,Maharashtra,Bhandara,Vidarbha,Cotton,Kharif,825.3,-13.1,27.98,39.53,19.18,0.98,64.1,35.2,6.08,318.7,51.6,328.3,46.4,37,22,7,2405.7,5.5,Low,52.7,Medium,15.7,Low,23.6,Low,0.28,674.5
16,2010,Maharashtra,Jalgaon,Khandesh,Cotton,Kharif,856.5,19.0,25.53,34.58,14.87,-1.97,63.7,34.5,7.07,251.3,26.4,347.3,41.5,13,22,6,13942.9,5.5,Low,9.8,Low,13.5,Low,8.9,Low,0.271,3784.8
17,2010,Maharashtra,Yavatmal,Vidarbha,Maize,Kharif,1031.5,8.6,27.38,33.73,21.02,0.38,54.5,46.9,6.11,282.7,33.4,365.5,13.5,10,0,8,1764.8,0.0,Low,7.5,Low,24.9,Low,8.7,Low,1.768,3120.1
18,2008,Maharashtra,Nashik,Western Maharashtra,Cotton,Kharif,821.0,2.6,25.14,34.75,16.75,-0.36,56.4,49.9,7.54,238.1,35.5,290.0,44.4,12,29,5,22553.7,7.2,Low,9.0,Low,11.2,Low,8.8,Low,0.216,4881.7
19,2013,Maharashtra,Ratnagiri,Konkan,Soybean,Kharif,2579.3,3.2,28.25,38.12,19.5,1.25,75.3,50.2,7.43,214.1,32.2,269.2,30.9,39,0,15,2283.4,0.0,Low,46.4,Medium,100.0,High,40.3,Medium,0.08,182.7
20,2017,Maharashtra,Gadchiroli,Vidarbha,Soybean,Kharif,1093.8,15.1,27.87,39.17,18.22,0.87,66.6,61.9,7.54,272.0,29.5,209.7,24.6,39,0,4,1276.3,0.0,Low,52.2,Medium,20.5,Low,22.3,Low,0.401,511.4
21,2008,Maharashtra,Amravati,Vidarbha,Soybean,Kharif,1118.4,17.7,29.05,36.56,17.85,2.05,60.3,55.1,7.56,155.1,41.0,400.2,38.8,23,7,5,2789.7,1.8,Low,25.8,Low,24.5,Low,15.4,Low,0.499,1391.1
22,2012,Maharashtra,Akola,Vidarbha,Maize,Kharif,814.2,-14.3,26.54,39.54,18.98,-0.46,79.0,46.1,6.78,435.3,26.1,183.6,55.1,49,28,5,1410.1,7.0,Low,61.7,Medium,11.2,Low,26.1,Low,2.54,3581.8
23,2003,Maharashtra,Hingoli,Marathwada,Sugarcane,Annual,595.3,-15.0,28.0,34.63,20.05,1.0,61.0,27.7,5.59,92.7,58.3,290.3,98.0,0,49,6,7509.3,42.0,Medium,0.0,Low,13.5,Low,21.0,Low,31.793,238743.3
24,2006,Maharashtra,Nashik,Western Maharashtra,Rice,Kharif,929.7,16.2,26.59,35.8,17.18,1.09,58.7,55.4,7.84,263.4,37.1,336.8,61.2,12,0,4,5720.0,8.7,Low,13.4,Low,9.0,Low,10.3,Low,1.694,9689.9
25,2021,Maharashtra,Osmanabad,Marathwada,Cotton,Kharif,741.7,6.0,27.38,38.68,20.01,0.38,52.7,35.1,7.87,499.6,31.5,200.2,47.3,31,33,10,9085.5,8.2,Low,43.5,Medium,22.5,Low,23.4,Low,0.304,2760.3
26,2016,Maharashtra,Solapur,Western Maharashtra,Maize,Kharif,619.5,-22.6,25.46,32.48,18.54,-0.04,59.0,26.7,7.45,194.2,40.4,323.1,0.0,0,43,5,7595.0,15.6,Low,0.0,Low,11.2,Low,9.4,Low,1.587,12051.2
27,2020,Maharashtra,Nandurbar,Khandesh,Sugarcane,Annual,760.6,5.6,27.94,35.12,19.39,0.44,58.9,28.3,7.28,135.5,25.8,404.0,84.9,16,46,7,1115.4,33.0,Low,12.6,Low,15.7,Low,22.0,Low,46.509,51875.8
28,2012,Maharashtra,Amravati,Vidarbha,Cotton,Kharif,774.8,-18.4,27.59,35.31,19.87,0.59,50.3,51.2,6.43,215.7,14.9,274.7,10.9,28,29,7,11838.1,7.2,Low,22.7,Low,15.7,Low,14.5,Low,0.227,2688.4
29,2010,Maharashtra,Jalgaon,Khandesh,Cotton,Kharif,797.7,10.8,28.12,36.66,19.55,0.62,55.2,46.2,7.72,245.9,26.0,284.1,51.5,27,4,4,5096.4,1.0,Low,29.4,Low,9.0,Low,12.4,Low,0.252,1284.4
30,2013,Maharashtra,Sindhudurg,Konkan,Rice,Kharif,1678.5,-32.9,26.57,37.51,16.73,-0.43,75.5,60.3,8.24,190.3,22.0,428.9,46.1,27,0,11,9383.1,0.0,Low,34.1,Medium,27.0,Low,18.0,Low,1.332,12501.3
31,2022,Maharashtra,Wardha,Vidarbha,Sugarcane,Annual,1007.7,6.1,28.91,40.28,19.71,1.91,53.0,44.7,7.16,264.4,12.5,252.6,87.1,49,26,5,3951.0,14.9,Low,65.8,Medium,11.2,Low,30.8,Low,61.328,242305.0
32,2022,Maharashtra,Yavatmal,Vidarbha,Wheat,Rabi,828.9,-12.7,25.81,37.12,19.05,-1.19,60.7,44.3,6.62,272.5,27.8,248.1,41.5,26,12,6,13581.6,3.0,Low,31.2,Low,27.6,Low,18.5,Low,0.519,7051.3
33,2018,Maharashtra,Hingoli,Marathwada,Soybean,Kharif,628.5,-10.2,27.51,37.05,17.54,0.51,47.9,37.9,7.58,204.0,27.0,321.1,45.7,26,40,4,3493.2,10.8,Low,30.8,Low,9.0,Low,16.9,Low,0.509,1776.5
34,2017,Maharashtra,Jalgaon,Khandesh,Wheat,Rabi,798.9,11.0,29.02,37.69,20.7,1.52,50.8,45.2,7.36,178.0,25.9,329.8,68.1,22,26,4,2454.1,6.5,Low,31.3,Low,20.1,Low,18.1,Low,0.142,348.5
35,2019,Maharashtra,Nagpur,Vidarbha,Cotton,Kharif,1139.6,20.0,28.6,36.32,24.74,1.6,67.2,62.5,6.32,168.5,12.8,218.6,30.4,9,0,6,5589.3,0.0,Low,14.0,Low,23.1,Low,10.4,Low,0.156,870.9
36,2019,Maharashtra,Buldhana,Vidarbha,Soybean,Kharif,1073.2,13.0,28.14,35.34,19.36,1.14,60.5,50.6,7.03,274.7,5.0,302.4,64.8,11,19,6,26999.9,4.8,Low,10.1,Low,23.4,Low,11.2,Low,0.604,16319.8
37,2007,Maharashtra,Nanded,Marathwada,Wheat,Rabi,692.0,-1.1,28.34,41.32,21.76,1.34,72.7,66.0,6.43,231.3,34.4,395.5,34.1,46,25,1,1231.2,6.2,Low,69.2,High,2.7,Low,26.1,Low,0.248,305.8
38,2014,Maharashtra,Gondia,Vidarbha,Soybean,Kharif,957.5,0.8,27.27,34.69,19.42,0.27,56.1,43.1,6.75,80.0,24.2,260.6,35.9,15,34,2,3092.6,8.5,Low,11.2,Low,6.0,Low,8.8,Low,0.518,1601.8
39,2018,Maharashtra,Gondia,Vidarbha,Maize,Kharif,1334.9,40.5,28.41,42.85,21.6,1.41,57.4,59.8,6.85,354.9,32.9,336.1,48.0,60,0,7,9249.2,0.0,Low,88.2,High,44.9,Medium,40.3,Medium,0.866,8008.2
40,2002,Maharashtra,Raigad,Konkan,Soybean,Kharif,2876.3,15.1,27.12,37.42,15.53,0.12,70.2,63.5,8.44,324.2,30.3,328.3,53.3,28,0,14,4646.4,0.0,Low,34.3,Medium,100.0,High,36.3,Medium,0.08,371.7
41,2020,Maharashtra,Gadchiroli,Vidarbha,Soybean,Kharif,1061.2,11.7,26.16,32.86,19.83,-0.84,74.3,56.0,7.54,274.7,41.3,286.5,28.9,0,8,4,3513.7,2.0,Low,0.0,Low,18.1,Low,5.4,Low,0.677,2380.1
42,2003,Maharashtra,Hingoli,Marathwada,Soybean,Kharif,764.2,9.2,27.57,34.01,20.9,0.57,53.9,55.7,7.24,325.8,27.2,312.4,24.8,8,16,3,15848.2,4.0,Low,6.0,Low,6.8,Low,5.3,Low,0.755,11968.3
43,2009,Maharashtra,Palghar,Konkan,Maize,Kharif,2281.4,-8.7,29.07,35.92,21.88,2.07,78.1,64.6,7.81,165.6,33.9,259.1,21.9,9,0,12,4634.4,0.0,Low,11.8,Low,100.0,High,28.9,Low,0.08,370.8
44,2024,Maharashtra,Nandurbar,Khandesh,Maize,Kharif,760.5,5.6,27.42,35.99,16.32,-0.08,51.1,43.1,7.01,355.1,21.1,497.8,53.0,13,15,3,2116.1,3.8,Low,15.2,Low,6.8,Low,8.3,Low,2.819,5964.6
45,2003,Maharashtra,Thane,Konkan,Maize,Kharif,1596.5,-36.1,26.6,36.16,19.36,-0.4,75.2,65.1,8.24,285.1,31.8,93.1,19.7,3,0,7,4443.8,0.0,Low,8.6,Low,64.1,Medium,18.9,Low,0.458,2034.0
46,2023,Maharashtra,Kolhapur,Western Maharashtra,Sugarcane,Annual,1194.6,49.3,26.44,33.69,17.53,0.94,69.0,53.8,7.21,242.8,16.6,219.8,100.0,12,20,6,5097.6,5.0,Low,9.0,Low,13.5,Low,8.4,Low,33.782,172207.2
47,2014,Maharashtra,Pune,Western Maharashtra,Wheat,Rabi,714.9,-10.6,24.69,33.72,16.61,-0.81,76.3,58.5,6.21,244.5,32.9,364.7,48.6,4,18,2,5806.7,4.5,Low,3.0,Low,7.2,Low,4.7,Low,1.113,6462.1
48,2012,Maharashtra,Chandrapur,Vidarbha,Rice,Kharif,1030.9,8.5,29.0,37.28,20.72,2.0,63.4,45.8,7.45,195.6,22.3,420.8,58.8,30,20,8,3654.0,8.7,Low,35.0,Medium,18.0,Low,19.7,Low,1.596,5830.2
49,2017,Maharashtra,Wardha,Vidarbha,Soybean,Kharif,1350.6,42.2,26.92,35.32,19.47,-0.08,72.2,61.1,6.41,256.0,26.7,292.5,5.4,13,0,8,3925.5,0.0,Low,11.5,Low,48.3,Medium,15.9,Low,0.377,1479.6
50,2013,Maharashtra,Osmanabad,Marathwada,Soybean,Kharif,817.9,16.8,26.82,36.77,21.38,-0.18,45.0,43.6,7.52,289.4,26.0,266.9,41.9,26,20,7,2798.8,5.0,Low,29.3,Low,15.7,Low,15.7,Low,0.714,1997.9
51,2019,Maharashtra,Aurangabad,Marathwada,Maize,Kharif,668.3,-4.5,26.06,35.36,18.3,-0.94,47.4,53.0,6.48,201.2,27.3,465.9,5.2,22,24,6,1474.5,6.0,Low,18.5,Low,13.5,Low,12.0,Low,1.924,2837.1
52,2024,Maharashtra,Raigad,Konkan,Wheat,Rabi,2811.5,12.5,27.4,36.51,18.74,0.4,95.0,62.1,7.31,235.6,16.1,91.5,34.3,14,0,15,53669.7,0.0,Low,18.8,Low,100.0,High,31.2,Low,0.08,4293.6
53,2024,Maharashtra,Jalgaon,Khandesh,Wheat,Rabi,1130.3,57.0,29.79,36.58,21.83,2.29,58.3,66.7,6.82,281.8,31.9,101.1,25.1,22,11,3,6257.4,2.8,Low,25.2,Low,51.0,Medium,22.2,Low,0.08,500.6
54,2009,Maharashtra,Kolhapur,Western Maharashtra,Soybean,Kharif,741.5,-7.3,26.33,37.62,19.82,0.83,48.1,50.1,6.84,385.2,39.7,252.0,37.5,32,16,7,3613.6,4.0,Low,38.4,Medium,15.7,Low,18.3,Low,1.025,3702.8
55,2008,Maharashtra,Mumbai Suburban,Konkan,Soybean,Kharif,1953.9,-21.8,26.09,38.17,18.59,-0.91,69.7,61.7,6.11,331.0,10.2,366.0,21.1,39,0,13,5658.1,0.0,Low,46.7,Medium,100.0,High,40.4,Medium,0.08,452.6
56,2016,Maharashtra,Ratnagiri,Konkan,Wheat,Rabi,2483.7,-0.7,29.15,34.78,19.84,2.15,70.5,62.7,6.78,308.8,17.8,329.3,43.1,21,0,13,3029.0,0.0,Low,15.7,Low,100.0,High,30.2,Low,0.08,242.3
57,2024,Maharashtra,Wardha,Vidarbha,Rice,Kharif,946.7,-0.3,27.92,38.53,16.81,0.92,58.1,50.9,7.23,242.0,37.0,313.4,67.3,22,25,5,2683.0,14.1,Low,35.9,Medium,11.2,Low,20.6,Low,1.635,4387.7
58,2009,Maharashtra,Sindhudurg,Konkan,Maize,Kharif,2577.9,3.1,27.59,38.27,21.31,0.59,75.9,63.9,7.44,269.0,43.6,485.2,37.4,42,0,18,4568.1,0.0,Low,49.5,Medium,100.0,High,41.3,Medium,0.08,365.4
59,2006,Maharashtra,Jalgaon,Khandesh,Sugarcane,Annual,719.2,-0.1,26.46,37.19,20.96,-1.04,58.5,20.9,6.28,270.4,33.3,117.5,70.6,31,26,5,27643.4,37.3,Medium,35.3,Medium,11.2,Low,30.1,Low,28.618,791094.0
60,2014,Maharashtra,Satara,Western Maharashtra,Wheat,Rabi,819.3,2.4,23.3,30.88,15.29,-2.2,76.3,44.7,6.06,264.5,35.7,302.5,75.2,0,16,3,2021.8,4.0,Low,0.0,Low,19.9,Low,6.7,Low,1.255,2537.4
61,2005,Maharashtra,Palghar,Konkan,Sugarcane,Annual,2854.6,14.2,24.85,31.3,16.86,-2.15,76.1,65.5,7.38,398.3,30.2,329.2,91.7,0,0,17,6401.6,0.0,Low,0.0,Low,81.6,High,20.4,Low,7.012,44889.0
62,2013,Maharashtra,Thane,Konkan,Soybean,Kharif,2685.9,7.4,27.97,32.69,20.53,0.97,68.3,68.7,5.88,359.2,23.9,412.5,27.4,0,0,15,919.2,0.0,Low,0.0,Low,100.0,High,25.0,Low,0.08,73.5
63,2019,Maharashtra,Pune,Western Maharashtra,Maize,Kharif,1062.4,32.8,24.66,32.77,13.8,-0.84,63.1,61.3,6.91,286.8,41.5,221.2,13.5,12,19,8,5727.9,4.8,Low,9.0,Low,27.2,Low,11.8,Low,1.878,10758.7
64,2022,Maharashtra,Kolhapur,Western Maharashtra,Maize,Kharif,430.9,-46.1,26.65,33.6,16.36,1.15,66.1,39.1,5.97,166.2,27.3,395.3,48.6,0,43,4,1571.9,28.6,Low,0.0,Low,9.0,Low,14.2,Low,1.757,2762.3
65,2009,Maharashtra,Ahmednagar,Western Maharashtra,Maize,Kharif,918.2,14.8,26.25,34.08,14.83,0.75,58.8,52.8,7.57,379.0,24.0,261.7,31.7,2,18,7,23433.6,4.5,Low,1.5,Low,15.7,Low,6.3,Low,1.907,44691.9
66,2013,Maharashtra,Nandurbar,Khandesh,Cotton,Kharif,839.6,16.6,27.03,37.85,21.58,-0.47,63.8,49.5,7.46,360.0,24.1,179.7,21.2,23,4,2,7437.6,1.0,Low,32.9,Low,4.5,Low,12.4,Low,0.273,2031.9
67,2007,Maharashtra,Amravati,Vidarbha,Soybean,Kharif,857.2,-9.8,27.14,36.49,17.47,0.14,57.9,35.5,6.69,188.2,27.3,222.2,2.5,37,29,5,9710.4,7.2,Low,35.9,Medium,11.2,Low,17.7,Low,0.637,6183.0
68,2012,Maharashtra,Yavatmal,Vidarbha,Sugarcane,Annual,753.5,-20.7,28.07,34.93,21.03,1.07,60.2,43.3,7.32,401.6,46.7,418.8,99.6,17,23,6,4917.9,25.9,Low,12.8,Low,13.5,Low,18.5,Low,72.614,357110.5
69,2022,Maharashtra,Aurangabad,Marathwada,Rice,Kharif,579.4,-17.2,26.29,34.98,18.44,-0.71,55.3,24.0,7.12,260.1,32.9,280.5,30.6,13,44,6,12841.0,43.2,Medium,9.8,Low,13.5,Low,24.7,Low,1.47,18875.4
70,2013,Maharashtra,Aurangabad,Marathwada,Maize,Kharif,688.7,-1.6,27.4,36.2,19.41,0.4,58.4,37.7,5.91,316.9,11.5,329.5,39.2,17,37,5,4077.4,9.2,Low,19.3,Low,11.2,Low,13.1,Low,2.058,8390.9
71,2023,Maharashtra,Jalna,Marathwada,Maize,Kharif,715.5,2.2,28.3,33.61,17.65,1.3,59.3,36.3,7.44,130.9,31.3,219.5,40.9,18,51,0,4788.6,12.8,Low,13.5,Low,0.0,Low,9.8,Low,1.382,6617.1
72,2006,Maharashtra,Nashik,Western Maharashtra,Rice,Kharif,735.4,-8.1,25.73,36.01,17.39,0.23,71.2,43.4,5.98,371.1,29.6,501.9,11.4,30,20,4,3681.2,23.4,Low,28.1,Low,9.0,Low,21.3,Low,1.23,4526.1
73,2011,Maharashtra,Raigad,Konkan,Cotton,Kharif,2527.9,1.1,27.92,37.36,19.61,0.92,73.2,61.8,6.78,260.0,25.3,376.0,43.8,34,0,13,2790.5,0.0,Low,38.5,Medium,100.0,High,37.7,Medium,0.08,223.2
74,2009,Maharashtra,Sangli,Western Maharashtra,Wheat,Rabi,886.9,10.9,26.22,34.87,20.45,0.72,61.6,65.3,8.7,322.0,15.8,177.4,54.3,19,13,10,14022.0,3.2,Low,14.2,Low,42.4,Medium,16.7,Low,0.381,5347.8
75,2002,Maharashtra,Nandurbar,Khandesh,Soybean,Kharif,857.4,19.1,27.73,37.24,19.75,0.23,54.8,56.1,6.9,281.5,23.4,299.3,8.5,32,24,7,3599.3,6.0,Low,36.3,Medium,15.7,Low,18.4,Low,0.635,2284.5
76,2004,Maharashtra,Hingoli,Marathwada,Cotton,Kharif,813.1,16.2,28.39,36.04,17.86,1.39,57.7,46.4,5.97,449.7,9.6,463.2,45.7,26,22,6,25754.5,5.5,Low,25.2,Low,13.5,Low,14.0,Low,0.311,8003.1
77,2005,Maharashtra,Thane,Konkan,Soybean,Kharif,3576.1,43.0,28.4,37.28,20.35,1.4,81.2,53.8,6.46,473.6,19.1,225.1,0.0,26,0,21,8999.3,0.0,Low,32.0,Low,100.0,High,35.6,Medium,0.08,719.9
78,2022,Maharashtra,Nagpur,Vidarbha,Sugarcane,Annual,1138.5,19.8,27.01,35.13,19.34,0.01,59.6,46.8,7.63,341.5,28.5,396.7,52.0,10,30,7,2211.4,9.9,Low,8.2,Low,15.7,Low,10.8,Low,43.416,96010.4
79,2025,Maharashtra,Gondia,Vidarbha,Wheat,Rabi,704.3,-25.9,27.98,40.34,17.71,0.98,71.6,62.5,7.03,298.1,34.6,492.1,30.3,38,43,5,16998.6,10.8,Low,57.9,Medium,12.9,Low,26.8,Low,0.357,6065.7
80,2008,Maharashtra,Osmanabad,Marathwada,Sugarcane,Annual,759.8,8.5,26.38,35.25,18.73,-0.62,66.4,32.7,7.87,292.1,18.0,200.2,100.0,9,51,8,10088.8,32.6,Low,8.1,Low,18.0,Low,20.9,Low,25.996,262268.0
81,2010,Maharashtra,Buldhana,Vidarbha,Maize,Kharif,813.9,-14.3,27.73,35.92,19.97,0.73,50.8,48.1,6.24,333.9,11.8,465.8,26.3,23,15,8,11094.9,3.8,Low,22.3,Low,18.0,Low,13.4,Low,1.966,21814.6
82,2017,Maharashtra,Nandurbar,Khandesh,Rice,Kharif,925.1,28.5,26.7,35.09,21.84,-0.8,67.8,25.0,7.97,168.6,8.3,283.9,47.8,14,35,6,5524.8,22.7,Low,11.0,Low,13.5,Low,16.5,Low,1.32,7290.4
83,2015,Maharashtra,Kolhapur,Western Maharashtra,Soybean,Kharif,993.7,24.2,25.87,35.11,16.47,0.37,58.1,58.8,8.07,224.6,17.1,288.2,41.6,4,19,7,2283.7,4.8,Low,3.6,Low,19.9,Low,8.2,Low,0.602,1375.4
84,2007,Maharashtra,Jalna,Marathwada,Cotton,Kharif,630.4,-9.9,26.05,31.95,15.84,-0.95,54.5,36.8,7.33,299.3,15.0,318.0,40.3,4,29,4,1202.8,11.3,Low,3.0,Low,9.0,Low,8.0,Low,0.283,340.6
85,2021,Maharashtra,Pune,Western Maharashtra,Rice,Kharif,778.4,-2.7,26.9,35.59,20.11,1.4,60.8,35.6,7.24,201.5,28.7,379.1,33.3,21,30,2,2531.1,23.8,Low,19.0,Low,4.5,Low,17.4,Low,1.528,3866.5
86,2022,Maharashtra,Buldhana,Vidarbha,Maize,Kharif,744.0,-21.7,28.2,38.17,18.85,1.2,46.1,66.1,7.58,331.0,21.6,208.5,21.8,36,20,5,17725.0,5.0,Low,44.4,Medium,11.2,Low,19.6,Low,1.591,28207.8
87,2021,Maharashtra,Latur,Marathwada,Soybean,Kharif,829.2,18.5,26.9,35.69,18.0,-0.1,52.8,45.0,7.45,173.8,40.9,218.4,23.9,7,20,5,7058.0,5.0,Low,9.1,Low,11.2,Low,7.9,Low,0.663,4677.3
88,2006,Maharashtra,Satara,Western Maharashtra,Cotton,Kharif,730.7,-8.7,25.81,34.16,16.51,0.31,71.2,42.3,8.14,365.8,15.0,249.4,37.3,6,20,6,7159.5,5.0,Low,4.5,Low,13.5,Low,7.0,Low,0.232,1662.6
89,2012,Maharashtra,Nandurbar,Khandesh,Wheat,Rabi,680.6,-5.5,28.25,38.28,20.83,0.75,44.7,51.1,6.17,142.0,35.1,267.0,76.5,30,0,4,4683.6,0.0,Low,40.6,Medium,9.0,Low,15.6,Low,0.301,1408.9
90,2001,Maharashtra,Nagpur,Vidarbha,Soybean,Kharif,1007.6,6.1,26.62,32.75,14.22,-0.38,46.9,51.3,6.5,274.1,21.9,364.6,39.8,11,12,6,9174.3,3.0,Low,8.2,Low,18.6,Low,8.6,Low,0.752,6900.4
91,2008,Maharashtra,Jalgaon,Khandesh,Sugarcane,Annual,839.5,16.6,28.89,34.83,20.01,1.39,64.8,43.2,7.01,110.5,30.2,387.9,84.0,16,29,12,2684.8,23.4,Low,12.0,Low,27.0,Low,20.6,Low,50.465,135488.2
92,2017,Maharashtra,Latur,Marathwada,Cotton,Kharif,740.4,5.8,26.62,32.31,17.32,-0.38,49.4,48.5,7.39,222.9,24.9,80.0,48.8,1,25,7,16415.4,6.2,Low,0.8,Low,15.7,Low,6.8,Low,0.226,3703.0
93,2022,Maharashtra,Beed,Marathwada,Rice,Kharif,621.9,-11.2,28.18,36.01,21.36,1.18,58.4,20.6,7.63,300.3,27.6,337.2,27.7,26,30,6,2192.8,40.9,Medium,25.0,Low,13.5,Low,28.8,Low,1.478,3241.4
94,2019,Maharashtra,Parbhani,Marathwada,Cotton,Kharif,761.6,8.8,28.67,36.62,21.92,1.67,44.8,32.5,6.72,274.1,44.6,370.6,13.9,28,30,5,6645.3,7.5,Low,29.9,Low,11.2,Low,15.8,Low,0.221,1467.7
95,2025,Maharashtra,Mumbai Suburban,Konkan,Wheat,Rabi,1857.8,-25.7,29.64,40.1,23.18,2.64,87.2,52.4,7.05,353.6,24.4,412.0,46.8,47,0,13,3359.0,0.0,Low,63.3,Medium,100.0,High,45.9,Medium,0.08,268.7
96,2008,Maharashtra,Osmanabad,Marathwada,Soybean,Kharif,665.5,-4.9,26.52,35.33,19.37,-0.48,40.4,39.7,6.55,165.5,23.5,283.3,26.5,24,46,4,3784.1,11.5,Low,19.8,Low,9.0,Low,13.6,Low,0.707,2675.8
97,2020,Maharashtra,Sindhudurg,Konkan,Cotton,Kharif,2172.9,-13.1,27.3,37.07,19.27,0.3,82.5,70.7,7.29,246.0,49.5,341.3,39.5,35,0,15,3825.7,0.0,Low,37.6,Medium,100.0,High,37.4,Medium,0.08,306.1
98,2018,Maharashtra,Osmanabad,Marathwada,Sugarcane,Annual,447.7,-36.0,25.89,34.1,18.49,-1.11,51.6,30.9,6.46,379.2,14.4,374.5,69.9,9,31,5,4037.2,42.1,Medium,6.8,Low,11.2,Low,22.7,Low,21.831,88135.0
99,2014,Maharashtra,Kolhapur,Western Maharashtra,Maize,Kharif,862.7,7.8,25.59,33.2,17.36,0.09,64.8,68.3,7.79,453.1,23.0,260.3,27.1,0,37,10,3438.2,9.2,Low,0.0,Low,22.5,Low,9.5,Low,2.576,8857.5
