record_id,year,state,district,agro_climatic_region,crop,season,annual_rainfall_mm,rainfall_anomaly_pct,avg_temperature_c,max_temperature_c,min_temperature_c,temperature_anomaly_c,humidity_pct,soil_moisture_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,irrigation_pct,hot_days,consecutive_dry_days,heavy_rain_days,cultivated_area_ha,drought_risk_score,drought_risk,heat_risk_score,heat_risk,flood_risk_score,flood_risk,overall_climate_risk_score,overall_climate_risk,yield_tonnes_per_ha,production_tonnes,rainfall_requirement_ratio,rainfall_deficit_index,heat_stress_index,drought_stress_index,soil_fertility_index,irrigation_adequacy,extreme_weather_days,rainfall_soil_interaction,temperature_rainfall_interaction,growing_condition_score
17,2010,Maharashtra,Yavatmal,Vidarbha,Maize,Kharif,1031.5,8.6,27.38,33.73,21.02,0.38,54.5,46.9,6.11,282.7,33.4,365.5,13.5,10,0,8,1764.8,0.0,Low,7.5,Low,24.9,Low,8.7,Low,1.768,3120.1,1.5869230769230769,0.0,0.06428571428571428,0.1801666666666667,0.6901875000000001,0.3,22.0,0.9923558974358975,0.03268,61.56407967032966
18,2008,Maharashtra,Nashik,Western Maharashtra,Cotton,Kharif,821.0,2.6,25.14,34.75,16.75,-0.36,56.4,49.9,7.54,238.1,35.5,290.0,44.4,12,29,5,22553.7,7.2,Low,9.0,Low,11.2,Low,8.8,Low,0.216,4881.7,1.02625,0.0,0.07714285714285715,0.263552380952381,0.6288125,0.9866666666666666,48.5,0.6827983333333334,-0.00936,84.02160714285715
19,2013,Maharashtra,Ratnagiri,Konkan,Soybean,Kharif,2579.3,3.2,28.25,38.12,19.5,1.25,75.3,50.2,7.43,214.1,32.2,269.2,30.9,39,0,15,2283.4,0.0,Low,46.4,Medium,100.0,High,40.3,Medium,0.08,182.7,3.0,0.0,0.5339642857142856,0.15176666666666666,0.6006625,0.7725,61.5,2.0080000000000005,0.04,47.84045238095238
20,2017,Maharashtra,Gadchiroli,Vidarbha,Soybean,Kharif,1093.8,15.1,27.87,39.17,18.22,0.87,66.6,61.9,7.54,272.0,29.5,209.7,24.6,39,0,4,1276.3,0.0,Low,52.2,Medium,20.5,Low,22.3,Low,0.401,511.4,1.4584,0.0,0.6061517857142859,0.11906666666666667,0.57985,0.615,45.0,1.2036661333333332,0.13137000000000001,63.67138988095239
21,2008,Maharashtra,Amravati,Vidarbha,Soybean,Kharif,1118.4,17.7,29.05,36.56,17.85,2.05,60.3,55.1,7.56,155.1,41.0,400.2,38.8,23,7,5,2789.7,1.8,Low,25.8,Low,24.5,Low,15.4,Low,0.499,1391.1,1.4912,0.0,0.32385714285714307,0.15753333333333333,0.6570374999999999,0.97,37.5,1.0955349333333333,0.36284999999999995,74.18955952380952
22,2012,Maharashtra,Akola,Vidarbha,Maize,Kharif,814.2,-14.3,26.54,39.54,18.98,-0.46,79.0,46.1,6.78,435.3,26.1,183.6,55.1,49,28,5,1410.1,7.0,Low,61.7,Medium,11.2,Low,26.1,Low,2.54,3581.8,1.2526153846153847,0.28600000000000003,0.695875,0.36133333333333334,0.7198000000000001,1.2244444444444444,84.5,0.7699409230769231,0.06578,72.04095192307693
23,2003,Maharashtra,Hingoli,Marathwada,Sugarcane,Annual,595.3,-15.0,28.0,34.63,20.05,1.0,61.0,27.7,5.59,92.7,58.3,290.3,98.0,0,49,6,7509.3,42.0,Medium,0.0,Low,13.5,Low,21.0,Low,31.793,238743.3,0.39686666666666665,0.3,0.0,0.4746666666666667,0.5518375,1.225,58.0,0.14657608888888887,-0.15,68.37119444444446
24,2006,Maharashtra,Nashik,Western Maharashtra,Rice,Kharif,929.7,16.2,26.59,35.8,17.18,1.09,58.7,55.4,7.84,263.4,37.1,336.8,61.2,12,0,4,5720.0,8.7,Low,13.4,Low,9.0,Low,10.3,Low,1.694,9689.9,0.77475,0.0,0.13214285714285695,0.10413333333333333,0.638525,0.9415384615384615,18.0,0.5722820000000001,0.17658000000000001,80.63829304029305
25,2021,Maharashtra,Osmanabad,Marathwada,Cotton,Kharif,741.7,6.0,27.38,38.68,20.01,0.38,52.7,35.1,7.87,499.6,31.5,200.2,47.3,31,33,10,9085.5,8.2,Low,43.5,Medium,22.5,Low,23.4,Low,0.304,2760.3,0.9271250000000001,0.0,0.4522857142857143,0.3271285714285715,0.6238499999999999,1.051111111111111,79.0,0.4338945,0.0228,73.83813095238095
26,2016,Maharashtra,Solapur,Western Maharashtra,Maize,Kharif,619.5,-22.6,25.46,32.48,18.54,-0.04,59.0,26.7,7.45,194.2,40.4,323.1,0.0,0,43,5,7595.0,15.6,Low,0.0,Low,11.2,Low,9.4,Low,1.587,12051.2,0.953076923076923,0.452,0.0,0.6034857142857143,0.6536749999999999,0.0,50.5,0.3392953846153846,0.00904,59.41144871794871
27,2020,Maharashtra,Nandurbar,Khandesh,Sugarcane,Annual,760.6,5.6,27.94,35.12,19.39,0.44,58.9,28.3,7.28,135.5,25.8,404.0,84.9,16,46,7,1115.4,33.0,Low,12.6,Low,15.7,Low,22.0,Low,46.509,51875.8,0.5070666666666667,0.0,0.10285714285714286,0.3679095238095238,0.6056874999999999,1.06125,72.5,0.19133315555555555,0.02464,69.90200396825396
28,2012,Maharashtra,Amravati,Vidarbha,Cotton,Kharif,774.8,-18.4,27.59,35.31,19.87,0.59,50.3,51.2,6.43,215.7,14.9,274.7,10.9,28,29,7,11838.1,7.2,Low,22.7,Low,15.7,Low,14.5,Low,0.227,2688.4,0.9684999999999999,0.368,0.20131250000000014,0.42151904761904757,0.5504125,0.24222222222222223,67.5,0.6611626666666666,-0.10855999999999998,65.96134027777778
29,2010,Maharashtra,Jalgaon,Khandesh,Cotton,Kharif,797.7,10.8,28.12,36.66,19.55,0.62,55.2,46.2,7.72,245.9,26.0,284.1,51.5,27,4,4,5096.4,1.0,Low,29.4,Low,9.0,Low,12.4,Low,0.252,1284.4,0.997125,0.0,0.28769642857142835,0.16164285714285714,0.5607375,1.1444444444444444,37.0,0.614229,0.06696,79.17138690476192
30,2013,Maharashtra,Sindhudurg,Konkan,Rice,Kharif,1678.5,-32.9,26.57,37.51,16.73,-0.43,75.5,60.3,8.24,190.3,22.0,428.9,46.1,27,0,11,9383.1,0.0,Low,34.1,Medium,27.0,Low,18.0,Low,1.332,12501.3,1.39875,0.6579999999999999,0.34613392857142844,0.3332,0.5133875,0.7092307692307692,43.5,1.124595,0.14146999999999998,68.69452312271062
31,2022,Maharashtra,Wardha,Vidarbha,Sugarcane,Annual,1007.7,6.1,28.91,40.28,19.71,1.91,53.0,44.7,7.16,264.4,12.5,252.6,87.1,49,26,5,3951.0,14.9,Low,65.8,Medium,11.2,Low,30.8,Low,61.328,242305.0,0.6718000000000001,0.0,0.6092500000000001,0.2253285714285714,0.5590499999999999,1.0887499999999999,82.5,0.40039280000000005,0.11650999999999997,68.49224999999998
32,2022,Maharashtra,Yavatmal,Vidarbha,Wheat,Rabi,828.9,-12.7,25.81,37.12,19.05,-1.19,60.7,44.3,6.62,272.5,27.8,248.1,41.5,26,12,6,13581.6,3.0,Low,31.2,Low,27.6,Low,18.5,Low,0.519,7051.3,1.6578,0.254,0.6566428571428571,0.30116190476190474,0.6608625,0.7545454545454545,47.0,0.9792071999999999,0.15113,59.30851623376624
33,2018,Maharashtra,Hingoli,Marathwada,Soybean,Kharif,628.5,-10.2,27.51,37.05,17.54,0.51,47.9,37.9,7.58,204.0,27.0,321.1,45.7,26,40,4,3493.2,10.8,Low,30.8,Low,9.0,Low,16.9,Low,0.509,1776.5,0.838,0.204,0.37683035714285695,0.4207952380952381,0.57555,1.1425,72.0,0.4234693333333333,-0.05202,73.26521130952382
34,2017,Maharashtra,Jalgaon,Khandesh,Wheat,Rabi,798.9,11.0,29.02,37.69,20.7,1.52,50.8,45.2,7.36,178.0,25.9,329.8,68.1,22,26,4,2454.1,6.5,Low,31.3,Low,20.1,Low,18.1,Low,0.142,348.5,1.5977999999999999,0.0,0.6701160714285713,0.24266190476190477,0.58565,1.238181818181818,54.0,0.9629408,0.1672,63.75125892857143
35,2019,Maharashtra,Nagpur,Vidarbha,Cotton,Kharif,1139.6,20.0,28.6,36.32,24.74,1.6,67.2,62.5,6.32,168.5,12.8,218.6,30.4,9,0,6,5589.3,0.0,Low,14.0,Low,23.1,Low,10.4,Low,0.156,870.9,1.4244999999999999,0.0,0.14860714285714288,0.11126666666666665,0.46861250000000004,0.6755555555555556,18.0,1.187083333333333,0.32,70.24592063492064
36,2019,Maharashtra,Buldhana,Vidarbha,Soybean,Kharif,1073.2,13.0,28.14,35.34,19.36,1.14,60.5,50.6,7.03,274.7,5.0,302.4,64.8,11,19,6,26999.9,4.8,Low,10.1,Low,23.4,Low,11.2,Low,0.604,16319.8,1.4309333333333334,0.0,0.16283928571428596,0.19796190476190478,0.5691375,1.6199999999999999,39.0,0.9654030222222224,0.1482,75.25127182539681
37,2007,Maharashtra,Nanded,Marathwada,Wheat,Rabi,692.0,-1.1,28.34,41.32,21.76,1.34,72.7,66.0,6.43,231.3,34.4,395.5,34.1,46,25,1,1231.2,6.2,Low,69.2,High,2.7,Low,26.1,Low,0.248,305.8,1.384,0.022000000000000002,1.0,0.21074285714285712,0.7180624999999999,0.62,72.5,1.21792,-0.014740000000000001,62.96125
38,2014,Maharashtra,Gondia,Vidarbha,Soybean,Kharif,957.5,0.8,27.27,34.69,19.42,0.27,56.1,43.1,6.75,80.0,24.2,260.6,35.9,15,34,2,3092.6,8.5,Low,11.2,Low,6.0,Low,8.8,Low,0.518,1601.8,1.2766666666666666,0.0,0.14386607142857127,0.31614761904761907,0.54505,0.8975,52.0,0.7336577777777777,0.0021600000000000005,73.57523115079366
39,2018,Maharashtra,Gondia,Vidarbha,Maize,Kharif,1334.9,40.5,28.41,42.85,21.6,1.41,57.4,59.8,6.85,354.9,32.9,336.1,48.0,60,0,7,9249.2,0.0,Low,88.2,High,44.9,Medium,40.3,Medium,0.866,8008.2,2.053692307692308,0.0,0.9941517857142859,0.10266666666666667,0.7981125,1.0666666666666667,70.5,1.6374773333333335,0.57105,59.435101419413925
40,2002,Maharashtra,Raigad,Konkan,Soybean,Kharif,2876.3,15.1,27.12,37.42,15.53,0.12,70.2,63.5,8.44,324.2,30.3,328.3,53.3,28,0,14,4646.4,0.0,Low,34.3,Medium,100.0,High,36.3,Medium,0.08,371.7,3.0,0.0,0.41512500000000013,0.08503333333333335,0.5632750000000001,1.3325,49.0,2.54,0.018119999999999997,56.971958333333326
41,2020,Maharashtra,Gadchiroli,Vidarbha,Soybean,Kharif,1061.2,11.7,26.16,32.86,19.83,-0.84,74.3,56.0,7.54,274.7,41.3,286.5,28.9,0,8,4,3513.7,2.0,Low,0.0,Low,18.1,Low,5.4,Low,0.677,2380.1,1.4149333333333334,0.0,0.0,0.1687190476190476,0.6789375,0.7224999999999999,14.0,1.0564835555555556,-0.09827999999999999,76.04652777777778
42,2003,Maharashtra,Hingoli,Marathwada,Soybean,Kharif,764.2,9.2,27.57,34.01,20.9,0.57,53.9,55.7,7.24,325.8,27.2,312.4,24.8,8,16,3,15848.2,4.0,Low,6.0,Low,6.8,Low,5.3,Low,0.755,11968.3,1.0189333333333335,0.0,0.05211607142857129,0.2081047619047619,0.6908249999999999,0.62,28.5,0.7567278222222223,0.05243999999999999,79.97253670634919
43,2009,Maharashtra,Palghar,Konkan,Maize,Kharif,2281.4,-8.7,29.07,35.92,21.88,2.07,78.1,64.6,7.81,165.6,33.9,259.1,21.9,9,0,12,4634.4,0.0,Low,11.8,Low,100.0,High,28.9,Low,0.08,370.8,3.0,0.174,0.18985714285714297,0.17366666666666666,0.5263,0.48666666666666664,27.0,2.5839999999999996,-0.18008999999999997,49.63814285714286
44,2024,Maharashtra,Nandurbar,Khandesh,Maize,Kharif,760.5,5.6,27.42,35.99,16.32,-0.08,51.1,43.1,7.01,355.1,21.1,497.8,53.0,13,15,3,2116.1,3.8,Low,15.2,Low,6.8,Low,8.3,Low,2.819,5964.6,1.17,0.0,0.22038392857142872,0.2176190476190476,0.8000875000000001,1.1777777777777778,32.5,0.67236,-0.00448,81.35599107142858
45,2003,Maharashtra,Thane,Konkan,Maize,Kharif,1596.5,-36.1,26.6,36.16,19.36,-0.4,75.2,65.1,8.24,285.1,31.8,93.1,19.7,3,0,7,4443.8,0.0,Low,8.6,Low,64.1,Medium,18.9,Low,0.458,2034.0,2.456153846153846,0.722,0.16778571428571407,0.366,0.4537375,0.43777777777777777,13.5,2.1319415384615383,0.1444,48.40428907203908
46,2023,Maharashtra,Kolhapur,Western Maharashtra,Sugarcane,Annual,1194.6,49.3,26.44,33.69,17.53,0.94,69.0,53.8,7.21,242.8,16.6,219.8,100.0,12,20,6,5097.6,5.0,Low,9.0,Low,13.5,Low,8.4,Low,33.782,172207.2,0.7963999999999999,0.0,0.07714285714285715,0.1563809523809524,0.5434,1.25,41.0,0.5712842666666665,0.46341999999999994,80.66419047619048
47,2014,Maharashtra,Pune,Western Maharashtra,Wheat,Rabi,714.9,-10.6,24.69,33.72,16.61,-0.81,76.3,58.5,6.21,244.5,32.9,364.7,48.6,4,18,2,5806.7,4.5,Low,3.0,Low,7.2,Low,4.7,Low,1.113,6462.1,1.4298,0.212,0.2814642857142856,0.2577428571428571,0.6759125,0.8836363636363637,25.0,1.115244,0.08586,75.40567965367966
48,2012,Maharashtra,Chandrapur,Vidarbha,Rice,Kharif,1030.9,8.5,29.0,37.28,20.72,2.0,63.4,45.8,7.45,195.6,22.3,420.8,58.8,30,20,8,3654.0,8.7,Low,35.0,Medium,18.0,Low,19.7,Low,1.596,5830.2,0.8590833333333334,0.0,0.34960714285714295,0.22424761904761908,0.6129,0.9046153846153846,62.0,0.5246135555555557,0.17,74.97092277167278
49,2017,Maharashtra,Wardha,Vidarbha,Soybean,Kharif,1350.6,42.2,26.92,35.32,19.47,-0.08,72.2,61.1,6.41,256.0,26.7,292.5,5.4,13,0,8,3925.5,0.0,Low,11.5,Low,48.3,Medium,15.9,Low,0.377,1479.6,1.8008,0.0,0.1743214285714286,0.14093333333333335,0.641,0.135,25.0,1.4670517333333333,-0.033760000000000005,55.851845238095244
50,2013,Maharashtra,Osmanabad,Marathwada,Soybean,Kharif,817.9,16.8,26.82,36.77,21.38,-0.18,45.0,43.6,7.52,289.4,26.0,266.9,41.9,26,20,7,2798.8,5.0,Low,29.3,Low,15.7,Low,15.7,Low,0.714,1997.9,1.0905333333333334,0.0,0.3575803571428574,0.24848095238095236,0.604325,1.0474999999999999,56.5,0.6339633777777778,-0.03024,76.84057242063491
51,2019,Maharashtra,Aurangabad,Marathwada,Maize,Kharif,668.3,-4.5,26.06,35.36,18.3,-0.94,47.4,53.0,6.48,201.2,27.3,465.9,5.2,22,24,6,1474.5,6.0,Low,18.5,Low,13.5,Low,12.0,Low,1.924,2837.1,1.028153846153846,0.09,0.2349285714285714,0.3024904761904762,0.7052,0.11555555555555556,55.0,0.7265620512820511,0.0423,66.55528510378511
52,2024,Maharashtra,Raigad,Konkan,Wheat,Rabi,2811.5,12.5,27.4,36.51,18.74,0.4,95.0,62.1,7.31,235.6,16.1,91.5,34.3,14,0,15,53669.7,0.0,Low,18.8,Low,100.0,High,31.2,Low,0.08,4293.6,3.0,0.0,0.5375624999999999,0.10869999999999999,0.45975000000000005,0.6236363636363635,36.5,2.484,0.05,45.16428977272727
53,2024,Maharashtra,Jalgaon,Khandesh,Wheat,Rabi,1130.3,57.0,29.79,36.58,21.83,2.29,58.3,66.7,6.82,281.8,31.9,101.1,25.1,22,11,3,6257.4,2.8,Low,25.2,Low,51.0,Medium,22.2,Low,0.08,500.6,2.2605999999999997,0.0,0.5938035714285713,0.1497095238095238,0.633675,0.4563636363636364,37.5,2.010426933333333,1.3053,49.67038582251083
54,2009,Maharashtra,Kolhapur,Western Maharashtra,Soybean,Kharif,741.5,-7.3,26.33,37.62,19.82,0.83,48.1,50.1,6.84,385.2,39.7,252.0,37.5,32,16,7,3613.6,4.0,Low,38.4,Medium,15.7,Low,18.3,Low,1.025,3702.8,0.9886666666666667,0.146,0.4545892857142856,0.26517142857142856,0.81025,0.9375,58.5,0.6604293333333334,-0.06058999999999999,81.30727182539684
55,2008,Maharashtra,Mumbai Suburban,Konkan,Soybean,Kharif,1953.9,-21.8,26.09,38.17,18.59,-0.91,69.7,61.7,6.11,331.0,10.2,366.0,21.1,39,0,13,5658.1,0.0,Low,46.7,Medium,100.0,High,40.4,Medium,0.08,452.6,2.6052,0.436,0.5374017857142859,0.2758333333333333,0.6046250000000001,0.5275000000000001,58.5,2.1432112,0.19838,46.03480654761905
56,2016,Maharashtra,Ratnagiri,Konkan,Wheat,Rabi,2483.7,-0.7,29.15,34.78,19.84,2.15,70.5,62.7,6.78,308.8,17.8,329.3,43.1,21,0,13,3029.0,0.0,Low,15.7,Low,100.0,High,30.2,Low,0.08,242.3,3.0,0.013999999999999999,0.4636250000000001,0.10279999999999997,0.69415,0.7836363636363637,40.5,2.5080000000000005,-0.01505,54.321352272727275
57,2024,Maharashtra,Wardha,Vidarbha,Rice,Kharif,946.7,-0.3,27.92,38.53,16.81,0.92,58.1,50.9,7.23,242.0,37.0,313.4,67.3,22,25,5,2683.0,14.1,Low,35.9,Medium,11.2,Low,20.6,Low,1.635,4387.7,0.7889166666666667,0.006,0.3841160714285715,0.2222761904761905,0.6891999999999999,1.0353846153846153,54.5,0.5354114444444444,-0.0027600000000000003,78.07753670634922
58,2009,Maharashtra,Sindhudurg,Konkan,Maize,Kharif,2577.9,3.1,27.59,38.27,21.31,0.59,75.9,63.9,7.44,269.0,43.6,485.2,37.4,42,0,18,4568.1,0.0,Low,49.5,Medium,100.0,High,41.3,Medium,0.08,365.4,3.0,0.0,0.5635625000000002,0.09960000000000001,0.7987249999999999,0.8311111111111111,69.0,2.556,0.01829,56.183284722222226
59,2006,Maharashtra,Jalgaon,Khandesh,Sugarcane,Annual,719.2,-0.1,26.46,37.19,20.96,-1.04,58.5,20.9,6.28,270.4,33.3,117.5,70.6,31,26,5,27643.4,37.3,Medium,35.3,Medium,11.2,Low,30.1,Low,28.618,791094.0,0.4794666666666667,0.002,0.28109821428571413,0.3218619047619048,0.57925,0.8825,64.5,0.13361137777777776,0.0010400000000000001,61.916304563492076
60,2014,Maharashtra,Satara,Western Maharashtra,Wheat,Rabi,819.3,2.4,23.3,30.88,15.29,-2.2,76.3,44.7,6.06,264.5,35.7,302.5,75.2,0,16,3,2021.8,4.0,Low,0.0,Low,19.9,Low,6.7,Low,1.255,2537.4,1.6385999999999998,0.0,0.060499999999999936,0.19437142857142853,0.6525624999999999,1.3672727272727274,20.5,0.9766056,-0.0528,73.42041666666668
61,2005,Maharashtra,Palghar,Konkan,Sugarcane,Annual,2854.6,14.2,24.85,31.3,16.86,-2.15,76.1,65.5,7.38,398.3,30.2,329.2,91.7,0,0,17,6401.6,0.0,Low,0.0,Low,81.6,High,20.4,Low,7.012,44889.0,1.9030666666666667,0.0,0.0,0.03996666666666667,0.7420375,1.14625,25.5,1.6620115555555557,-0.30529999999999996,77.25630555555554
62,2013,Maharashtra,Thane,Konkan,Soybean,Kharif,2685.9,7.4,27.97,32.69,20.53,0.97,68.3,68.7,5.88,359.2,23.9,412.5,27.4,0,0,15,919.2,0.0,Low,0.0,Low,100.0,High,25.0,Low,0.08,73.5,3.0,0.0,0.0,0.09359999999999999,0.6852499999999999,0.6849999999999999,22.5,2.748,0.07178,60.72500000000001
63,2019,Maharashtra,Pune,Western Maharashtra,Maize,Kharif,1062.4,32.8,24.66,32.77,13.8,-0.84,63.1,61.3,6.91,286.8,41.5,221.2,13.5,12,19,8,5727.9,4.8,Low,9.0,Low,27.2,Low,11.8,Low,1.878,10758.7,1.6344615384615386,0.0,0.07714285714285715,0.21359523809523812,0.7336,0.3,43.0,1.3358998974358975,-0.27552,65.28716483516483
64,2022,Maharashtra,Kolhapur,Western Maharashtra,Maize,Kharif,430.9,-46.1,26.65,33.6,16.36,1.15,66.1,39.1,5.97,166.2,27.3,395.3,48.6,0,43,4,1571.9,28.6,Low,0.0,Low,9.0,Low,14.2,Low,1.757,2762.3,0.6629230769230768,0.922,0.0,0.678052380952381,0.584275,1.08,49.0,0.34560389743589737,-0.53015,76.49421794871795
